x0,P
    0.019068 ,             0
  0.00092279 ,          0.28
    0.011972 ,             0
    0.012778 ,             0
   0.0080216 ,             0
    0.015814 ,             0
    0.024057 ,             0
   0.0021678 ,          0.12
    0.022532 ,             0
    0.016616 ,             0
    0.021586 ,             0
    0.022331 ,             0
    0.012646 ,             0
   0.0071241 ,             0
   0.0027269 ,          0.18
   0.0075314 ,             0
    0.024236 ,             0
    0.012499 ,             0
   0.0023819 ,           0.2
   0.0095583 ,             0
   0.0048628 ,          0.04
    0.020427 ,             0
   0.0028372 ,           0.1
    0.012752 ,             0
  0.00053298 ,          0.21
    0.012488 ,             0
     0.02351 ,             0
    0.023939 ,             0
    0.011959 ,             0
   0.0045463 ,          0.06
    0.006939 ,             0
   0.0085099 ,             0
  0.00067564 ,           0.3
   0.0049917 ,          0.06
     0.01419 ,             0
    0.022913 ,             0
    0.020665 ,             0
   0.0042155 ,          0.08
    0.023488 ,             0
    0.011828 ,             0
   0.0085785 ,             0
      0.0177 ,             0
    0.024613 ,             0
    0.020821 ,             0
     0.01569 ,             0
    0.012758 ,             0
   0.0012092 ,          0.14
    0.023683 ,             0
    0.018272 ,             0
    0.011303 ,             0
    0.014556 ,             0
    0.017464 ,             0
   0.0083415 ,             0
   0.0075474 ,             0
    0.020547 ,             0
   2.299e-05 ,          0.24
    0.024185 ,             0
   0.0029533 ,          0.12
    0.020239 ,             0
    0.013482 ,             0
     0.02109 ,             0
   0.0088809 ,             0
    0.020227 ,             0
    0.012949 ,             0
    0.010262 ,             0
    0.015385 ,             0
    0.018705 ,             0
   0.0095727 ,             0
   0.0043906 ,          0.06
   0.0067438 ,             0
    0.010398 ,             0
   0.0023423 ,          0.16
    0.004556 ,          0.08
    0.010141 ,             0
    0.014369 ,             0
    0.020963 ,             0
    0.014428 ,             0
    0.010037 ,             0
   0.0076013 ,             0
   0.0090367 ,             0
     0.02328 ,             0
    0.011728 ,             0
     0.01481 ,             0
    0.007041 ,             0
    0.011717 ,             0
    0.022359 ,             0
   0.0055299 ,          0.02
    0.022729 ,             0
    0.021159 ,             0
    0.013998 ,             0
    0.013564 ,             0
    0.012049 ,             0
